device,max_normalized_regret,max_regret_vs_oracle_s,mean_normalized_regret,mean_regret_vs_oracle_s,median_normalized_regret,missed_opportunity_count,missed_opportunity_rate,n_conditions,p90_normalized_regret,p95_normalized_regret,policy,policy_failure_count,policy_failure_rate,total_regret_vs_oracle_s,wrong_enable_count,wrong_enable_rate
A100,28.654009,3.574218,10.306332,1.901174,9.583066,2,0.083333,24,22.813762,22.970689,job_length_only,0,0.0,45.628177,16,0.666667
A100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,oracle_best_action,0,0.0,0.0,0,0.0
A100,0.195036,0.06265,0.025958,0.006057,0.0,0,0.0,24,0.054944,0.108966,risk_aware_policy,0,0.0,0.145371,5,0.208333
A100,18.071726,3.096279,2.976734,0.704794,0.052195,0,0.0,24,11.824457,12.443056,shape_only,0,0.0,16.915058,11,0.458333
A100,0.195036,0.06265,0.042511,0.008278,0.003708,2,0.083333,24,0.108966,0.133652,static_gate_only,4,0.166667,0.198674,7,0.291667
A100,0.195036,0.06265,0.042511,0.008278,0.003708,2,0.083333,24,0.108966,0.133652,static_gate_plus_eligibility,0,0.0,0.198674,3,0.125
A100,12.443056,2.795001,1.531172,0.451813,0.056805,2,0.083333,24,5.341776,6.118573,static_threshold,0,0.0,10.843511,7,0.291667
A100,0.497823,0.079449,0.094346,0.016482,0.052195,5,0.208333,24,0.195036,0.237716,workload_agnostic_logreg_policy,6,0.25,0.29668,5,0.208333
A100,0.804402,0.107773,0.138988,0.022464,0.064796,6,0.25,24,0.237716,0.497823,workload_agnostic_tree_policy,6,0.25,0.404354,5,0.208333
A100,0.868464,0.116356,0.110103,0.017421,0.051626,7,0.291667,24,0.153381,0.218097,workload_family_holdout_policy,0,0.0,0.418097,0,0.0
H100,0.230557,0.035581,0.023704,0.004287,0.013806,5,0.208333,24,0.031053,0.037219,always_best_eager,6,0.25,0.077171,0,0.0
H100,19.80068,3.003756,11.129395,2.102002,9.94628,0,0.0,24,15.922124,15.949396,always_compile,0,0.0,50.448051,24,1.0
H100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_compile_plus_graphs,24,1.0,0.0,6,0.25
H100,19.455589,2.432825,11.000846,2.06235,9.893998,0,0.0,24,15.823139,15.901916,always_compile_reduce_overhead,0,0.0,49.496394,24,1.0
H100,,,,,,0,0.0,24,,,always_cpu,24,1.0,,0,0.0
H100,0.298388,0.046049,0.023265,0.004002,0.00094,5,0.208333,24,0.042238,0.043013,always_eager,0,0.0,0.09605,0,0.0
H100,0.034904,0.005373,0.006402,0.00123,0.0,0,0.0,24,0.021693,0.028076,always_graphs,12,0.5,0.022142,10,0.416667
H100,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.0,0.0,always_graphs_input_copy,24,1.0,0.0,6,0.25
H100,0.298388,0.046049,0.023265,0.004002,0.00094,5,0.208333,24,0.042238,0.043013,amort_ablation_startup_only,0,0.0,0.09605,0,0.0
H100,0.053367,0.006594,0.011915,0.001794,0.004723,2,0.083333,24,0.03079,0.037219,amort_ablation_startup_step,0,0.0,0.043056,3,0.125
H100,0.053367,0.006594,0.011915,0.001794,0.004723,2,0.083333,24,0.03079,0.037219,amort_ablation_startup_step_risk,0,0.0,0.043056,3,0.125
