batch_size,cache_state,ci95_overlap,device_label,marginal_rank,num_steps,oracle_action,oracle_runtime_s,relative_margin,runner_up_action,runner_up_runtime_s,time_accounting_mode,workload_id
32,cold_cache,True,RTX 4060,True,50,best_eager,0.052977,0.030202,eager,0.054577,cold_total,dynamic_shape_infer_small
32,cold_cache,True,RTX 4060,True,100,eager,0.05652,0.000513,best_eager,0.056549,cold_total,dynamic_shape_infer_small
32,cold_cache,True,RTX 4060,True,500,eager,0.072465,0.006831,best_eager,0.07296,cold_total,dynamic_shape_infer_small
1,cold_cache,True,RTX 4060,True,10,best_eager,0.110921,0.011035,eager,0.112145,cold_total,fixed_shape_infer_small
1,cold_cache,True,RTX 4060,True,50,graphs_only,0.113173,0.015949,best_eager,0.114978,cold_total,fixed_shape_infer_small
1,cold_cache,True,RTX 4060,True,100,graphs_only,0.115259,0.010663,graphs_input_copy,0.116488,cold_total,fixed_shape_infer_small
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.127576,0.120509,graphs_input_copy,0.14295,cold_total,fixed_shape_infer_small
4,cold_cache,True,RTX 4060,True,10,graphs_input_copy,0.106647,0.020094,best_eager,0.10879,cold_total,fixed_shape_infer_small
4,cold_cache,True,RTX 4060,True,50,best_eager,0.111624,0.000215,graphs_only,0.111648,cold_total,fixed_shape_infer_small
4,cold_cache,True,RTX 4060,True,100,graphs_only,0.113268,0.02374,eager,0.115957,cold_total,fixed_shape_infer_small
4,cold_cache,False,RTX 4060,False,500,graphs_only,0.127565,0.141285,graphs_input_copy,0.145588,cold_total,fixed_shape_infer_small
16,cold_cache,True,RTX 4060,True,10,best_eager,0.105202,0.019581,eager,0.107262,cold_total,fixed_shape_infer_small
16,cold_cache,True,RTX 4060,True,50,best_eager,0.110262,0.017876,graphs_only,0.112233,cold_total,fixed_shape_infer_small
16,cold_cache,True,RTX 4060,True,100,graphs_only,0.114788,0.007318,best_eager,0.115628,cold_total,fixed_shape_infer_small
16,cold_cache,True,RTX 4060,True,500,graphs_only,0.151746,0.016475,eager,0.154246,cold_total,fixed_shape_infer_small
32,cold_cache,True,RTX 4060,True,10,best_eager,0.111367,0.008485,eager,0.112312,cold_total,fixed_shape_infer_small
32,cold_cache,True,RTX 4060,True,50,best_eager,0.118903,0.004113,eager,0.119392,cold_total,fixed_shape_infer_small
32,cold_cache,True,RTX 4060,True,100,eager,0.127221,0.004347,best_eager,0.127774,cold_total,fixed_shape_infer_small
32,cold_cache,True,RTX 4060,True,500,graphs_only,0.192765,0.003745,best_eager,0.193487,cold_total,fixed_shape_infer_small
1,cold_cache,True,RTX 4060,True,10,eager,0.099898,0.002653,best_eager,0.100163,cold_total,gnn_irregular
1,cold_cache,True,RTX 4060,True,50,best_eager,0.103925,0.003772,eager,0.104317,cold_total,gnn_irregular
1,cold_cache,True,RTX 4060,False,100,best_eager,0.105386,0.064496,eager,0.112183,cold_total,gnn_irregular
1,cold_cache,True,RTX 4060,True,500,best_eager,0.152294,0.00243,eager,0.152664,cold_total,gnn_irregular
