device,load_level,mean_arrival_rate_lambda,mean_effective_offered_load,mean_missed_opportunity_count,mean_p95_completion_time_s,mean_p95_wait_time_s,mean_service_time_s,mean_throughput_jobs_per_s,mean_wasted_optimization_overhead_s,mean_wrong_admit_count,num_seeds,policy,target_utilization,unstable_seed_count
H100,heavy,4.509396,0.906669,105.0,2.865438,2.657367,0.201062,4.484185,0.73232,5.0,5,workload_agnostic_tree_policy,0.9,0
H100,heavy,4.509396,0.922696,226.2,3.201319,2.986148,0.204616,4.482447,0.0,0.0,5,workload_family_holdout_policy,0.9,0
H100,light,1.753654,0.358056,226.2,0.738694,0.429545,0.204177,1.753018,0.0,0.0,5,always_best_eager,0.35,0
H100,light,1.753654,6.816434,0.0,3150.566515,3146.413553,3.886989,0.257273,2541.480525,1000.0,5,always_compile,0.35,5
H100,light,1.753654,4.689426,0.0,1998.092984,1996.867707,2.674088,0.373938,1732.04956,767.0,5,always_compile_plus_graphs,0.35,5
H100,light,1.753654,6.869721,0.0,3179.800022,3175.592645,3.917375,0.255277,2574.571901,1000.0,5,always_compile_reduce_overhead,0.35,5
H100,light,1.753654,0.358056,0.0,0.738694,0.429545,0.204177,1.753018,0.0,0.0,5,always_cpu,0.35,0
H100,light,1.753654,0.358826,226.2,0.741406,0.432079,0.204616,1.753027,0.0,0.0,5,always_eager,0.35,0
H100,light,1.753654,0.353426,0.0,0.728703,0.417584,0.201537,1.753055,57.456506,454.6,5,always_graphs,0.35,0
H100,light,1.753654,0.360036,0.0,0.739507,0.432761,0.205306,1.753029,71.222964,554.8,5,always_graphs_input_copy,0.35,0
H100,light,1.753654,0.358826,226.2,0.741406,0.432079,0.204616,1.753027,0.0,0.0,5,amort_ablation_startup_only,0.35,0
H100,light,1.753654,0.351077,28.0,0.728777,0.414411,0.200198,1.753059,15.210485,99.8,5,amort_ablation_startup_step,0.35,0
H100,light,1.753654,0.351077,28.0,0.728777,0.414411,0.200198,1.753059,15.210485,99.8,5,amort_ablation_startup_step_risk,0.35,0
H100,light,1.753654,0.353339,0.0,0.731222,0.418473,0.201487,1.753058,57.456506,379.2,5,amort_ablation_step_only,0.35,0
H100,light,1.753654,0.351077,28.0,0.728777,0.414411,0.200198,1.753059,15.210485,99.8,5,amortization_policy,0.35,0
H100,light,1.753654,0.351937,5.8,0.728949,0.416033,0.200688,1.753058,33.686243,223.8,5,first_k_probe_policy,0.35,0
H100,light,1.753654,3.572417,28.0,1402.053496,1400.392219,2.037128,0.490965,1259.537579,496.0,5,job_length_only,0.35,5
H100,light,1.753654,0.348849,0.0,0.721214,0.410981,0.198927,1.753065,0.0,0.0,5,oracle_best_action,0.35,0
H100,light,1.753654,0.352045,5.8,0.730939,0.41786,0.20075,1.753061,33.686243,223.8,5,risk_aware_policy,0.35,0
H100,light,1.753654,1.248595,0.0,143.739382,143.308757,0.711996,1.39739,373.321799,489.8,5,shape_only,0.35,5
H100,light,1.753654,0.351443,28.0,0.727586,0.417243,0.200406,1.753065,15.214775,141.6,5,static_gate_only,0.35,0
H100,light,1.753654,0.351644,28.0,0.731359,0.417675,0.200521,1.753062,15.214775,99.8,5,static_gate_plus_eligibility,0.35,0
H100,light,1.753654,0.841893,28.0,21.689714,21.069095,0.480079,1.733887,184.846424,170.0,5,static_threshold,0.35,0
H100,light,1.753654,0.352766,100.6,0.72788,0.416935,0.20116,1.753062,5.103534,39.8,5,workload_agnostic_logreg_policy,0.35,0
H100,light,1.753654,0.352594,105.0,0.72788,0.415872,0.201062,1.75306,0.73232,5.0,5,workload_agnostic_tree_policy,0.35,0
H100,light,1.753654,0.358826,226.2,0.741406,0.432079,0.204616,1.753027,0.0,0.0,5,workload_family_holdout_policy,0.35,0
H100,medium,3.256786,0.664961,226.2,1.233261,0.997839,0.204177,3.251417,0.0,0.0,5,always_best_eager,0.65,0
H100,medium,3.256786,12.659092,0.0,3401.551301,3397.398338,3.886989,0.257273,2541.480525,1000.0,5,always_compile,0.65,5
H100,medium,3.256786,8.708934,0.0,2249.018971,2248.101784,2.674088,0.373971,1732.04956,767.0,5,always_compile_plus_graphs,0.65,5
H100,medium,3.256786,12.758053,0.0,3430.784808,3426.57743,3.917375,0.255277,2574.571901,1000.0,5,always_compile_reduce_overhead,0.65,5
H100,medium,3.256786,0.664961,0.0,1.233261,0.997839,0.204177,3.251417,0.0,0.0,5,always_cpu,0.65,0
H100,medium,3.256786,0.666391,226.2,1.239295,1.00699,0.204616,3.251387,0.0,0.0,5,always_eager,0.65,0
H100,medium,3.256786,0.656362,0.0,1.181913,0.959094,0.201537,3.25151,57.456506,454.6,5,always_graphs,0.65,0
H100,medium,3.256786,0.668639,0.0,1.237496,0.998078,0.205306,3.251205,71.222964,554.8,5,always_graphs_input_copy,0.65,0
H100,medium,3.256786,0.666391,226.2,1.239295,1.00699,0.204616,3.251387,0.0,0.0,5,amort_ablation_startup_only,0.65,0
H100,medium,3.256786,0.652001,28.0,1.167084,0.94929,0.200198,3.251578,15.210485,99.8,5,amort_ablation_startup_step,0.65,0
H100,medium,3.256786,0.652001,28.0,1.167084,0.94929,0.200198,3.251578,15.210485,99.8,5,amort_ablation_startup_step_risk,0.65,0
H100,medium,3.256786,0.6562,0.0,1.183099,0.957979,0.201487,3.251518,57.456506,379.2,5,amort_ablation_step_only,0.65,0
H100,medium,3.256786,0.652001,28.0,1.167084,0.94929,0.200198,3.251578,15.210485,99.8,5,amortization_policy,0.65,0
H100,medium,3.256786,0.653597,5.8,1.175511,0.956289,0.200688,3.25155,33.686243,223.8,5,first_k_probe_policy,0.65,0
H100,medium,3.256786,6.634489,28.0,1653.010443,1651.756507,2.037128,0.49099,1259.537579,496.0,5,job_length_only,0.65,5
H100,medium,3.256786,0.647862,0.0,1.157731,0.937156,0.198927,3.25164,0.0,0.0,5,oracle_best_action,0.65,0
H100,medium,3.256786,0.653798,5.8,1.17862,0.960505,0.20075,3.25154,33.686243,223.8,5,risk_aware_policy,0.65,0
H100,medium,3.256786,2.318819,0.0,387.067645,386.401426,0.711996,1.406223,373.321799,489.8,5,shape_only,0.65,5
H100,medium,3.256786,0.65268,28.0,1.171198,0.950955,0.200406,3.251568,15.214775,141.6,5,static_gate_only,0.65,0
H100,medium,3.256786,0.653053,28.0,1.175635,0.955669,0.200521,3.251555,15.214775,99.8,5,static_gate_plus_eligibility,0.65,0
H100,medium,3.256786,1.563515,28.0,164.748531,164.133539,0.480079,2.078341,184.846424,170.0,5,static_threshold,0.65,5
H100,medium,3.256786,0.655136,100.6,1.1828,0.959427,0.20116,3.251554,5.103534,39.8,5,workload_agnostic_logreg_policy,0.65,0
H100,medium,3.256786,0.654817,105.0,1.182372,0.959821,0.201062,3.251547,0.73232,5.0,5,workload_agnostic_tree_policy,0.65,0
H100,medium,3.256786,0.666391,226.2,1.239295,1.00699,0.204616,3.251387,0.0,0.0,5,workload_family_holdout_policy,0.65,0
